"Station","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName","n_images"
"SLC 121 Skoyo","Snow Leopard",2022-03-06 12:35:34,2022-03-06,"12:35:34",1889640,31494,524.9,21.9,"Data-21-22/SLC 121 Skoyo/Snow Leopard","IMG_0018.AVI",1
"SLC 123 Skoyo","Fox",2021-12-07 08:01:21,2021-12-07,"08:01:21",0,0,0,0,"Data-21-22/SLC 123 Skoyo/Fox","12070067.JPG",2
"SLC 123 Skoyo","Fox",2021-12-19 09:40:00,2021-12-19,"09:40:00",1042719,17378.7,289.6,12.1,"Data-21-22/SLC 123 Skoyo/Fox","12190124.JPG",2
"SLC 123 Skoyo","Fox",2021-12-21 08:18:02,2021-12-21,"08:18:02",167882,2798,46.6,1.9,"Data-21-22/SLC 123 Skoyo/Fox","12210133.JPG",2
"SLC 123 Skoyo","Fox",2022-02-02 13:16:17,2022-02-02,"13:16:17",3733095,62218.2,1037,43.2,"Data-21-22/SLC 123 Skoyo/Fox","02020226.JPG",2
"SLC 123 Skoyo","Fox",2022-02-08 17:08:58,2022-02-08,"17:08:58",532361,8872.7,147.9,6.2,"Data-21-22/SLC 123 Skoyo/Fox","02080234.JPG",1
"SLC 123 Skoyo","Fox",2022-02-14 11:29:50,2022-02-14,"11:29:50",498052,8300.9,138.3,5.8,"Data-21-22/SLC 123 Skoyo/Fox","02140235.JPG",2
"SLC 123 Skoyo","Fox",2022-02-16 16:02:00,2022-02-16,"16:02:00",189130,3152.2,52.5,2.2,"Data-21-22/SLC 123 Skoyo/Fox","02160238.JPG",2
"SLC 123 Skoyo","Fox",2022-02-28 18:20:09,2022-02-28,"18:20:09",1045089,17418.2,290.3,12.1,"Data-21-22/SLC 123 Skoyo/Fox","02280475.JPG",2
"SLC 123 Skoyo","Fox",2022-02-28 19:42:40,2022-02-28,"19:42:40",4951,82.5,1.4,0.1,"Data-21-22/SLC 123 Skoyo/Fox","02280478.JPG",2
"SLC 123 Skoyo","Ibex",2021-12-18 01:46:22,2021-12-18,"01:46:22",0,0,0,0,"Data-21-22/SLC 123 Skoyo/Ibex","12180121.JPG",2
"SLC 123 Skoyo","Ibex",2021-12-23 16:18:30,2021-12-23,"16:18:30",484328,8072.1,134.5,5.6,"Data-21-22/SLC 123 Skoyo/Ibex","12230142.JPG",2
"SLC 123 Skoyo","Livestock",2021-12-08 04:52:48,2021-12-08,"04:52:48",0,0,0,0,"Data-21-22/SLC 123 Skoyo/Livestock","12080079.JPG",3
"SLC 123 Skoyo","Livestock",2022-02-27 00:35:46,2022-02-27,"00:35:46",6982978,116383,1939.7,80.8,"Data-21-22/SLC 123 Skoyo/Livestock","02270247.JPG",74
"SLC 123 Skoyo","Livestock",2022-02-27 02:37:47,2022-02-27,"02:37:47",7321,122,2,0.1,"Data-21-22/SLC 123 Skoyo/Livestock","02270358.JPG",73
"SLC 123 Skoyo","Livestock",2022-02-28 01:17:19,2022-02-28,"01:17:19",81572,1359.5,22.7,0.9,"Data-21-22/SLC 123 Skoyo/Livestock","02280457.JPG",14
"SLC 123 Skoyo","Other",2021-12-22 10:14:04,2021-12-22,"10:14:04",0,0,0,0,"Data-21-22/SLC 123 Skoyo/Other","12220139.JPG",2
"SLC 123 Skoyo","Other",2022-01-13 10:27:21,2022-01-13,"10:27:21",1901597,31693.3,528.2,22,"Data-21-22/SLC 123 Skoyo/Other","01130172.JPG",5
"SLC 123 Skoyo","Other",2022-01-25 06:58:00,2022-01-25,"06:58:00",1024239,17070.7,284.5,11.9,"Data-21-22/SLC 123 Skoyo/Other","01250199.JPG",1
"SLC 123 Skoyo","Other",2022-01-25 10:33:33,2022-01-25,"10:33:33",12933,215.6,3.6,0.1,"Data-21-22/SLC 123 Skoyo/Other","01250208.JPG",2
"SLC 123 Skoyo","Snow Leopard",2021-12-12 06:22:01,2021-12-12,"06:22:01",0,0,0,0,"Data-21-22/SLC 123 Skoyo/Snow Leopard","12120088.JPG",2
"SLC 123 Skoyo","Snow Leopard",2022-01-13 06:05:29,2022-01-13,"06:05:29",2763808,46063.5,767.7,32,"Data-21-22/SLC 123 Skoyo/Snow Leopard","01130169.JPG",2
"SLC 123 Skoyo","Snow Leopard",2022-01-18 05:27:12,2022-01-18,"05:27:12",429703,7161.7,119.4,5,"Data-21-22/SLC 123 Skoyo/Snow Leopard","01180187.JPG",2
"SLC 123 Skoyo","Snow Leopard",2022-01-25 06:58:13,2022-01-25,"06:58:13",610261,10171,169.5,7.1,"Data-21-22/SLC 123 Skoyo/Snow Leopard","01250202.JPG",3
"SLC 123 Skoyo","Snow Leopard",2022-02-02 07:39:59,2022-02-02,"07:39:59",693706,11561.8,192.7,8,"Data-21-22/SLC 123 Skoyo/Snow Leopard","02020220.JPG",4
"SLC 123 Skoyo B","Livestock",2015-02-02 03:45:38,2015-02-02,"03:45:38",0,0,0,0,"Data-21-22/SLC 123 Skoyo B/Livestock","02020973.JPG",1
